id_miasta,nazwa,id_wojewodztwa
243,Weiguo,27
244,Jaunpiebalga,56
245,Wilno,69
246,Cimanggu Girang,26
247,Liulin,47
248,Sel’tso,18
249,Vitória do Mearim,7
250,Pryvol’ny,92
251,Bugo,65
252,Figueira,38
253,Karukh,55
254,Shaxi,33
255,Mirecourt,48
256,Martapura,47
257,Novokuybyshevsk,19
258,Ronglong,78
259,Haljala,81
260,Pingkai,37
261,Caucete,78
262,Hongqi,82
263,Jombang,72
264,Dassa-Zoumé,87
265,Yongfeng,58
266,Novotroitsk,53
267,Situbondo,75
268,Yermish’,96
269,Adar,4
270,Wangchang,34
271,Liboran,21
272,Yermish’,61
273,Vukovije Donje,70
274,Chornukhy,32
275,Tohong,29
276,Diapaga,84
277,Cungking,92
278,Bystra,8
279,Jabat,88
280,Lere,45
281,Caikouji,34
282,La Cruz,87
283,Huangqi,50
284,Yanxi,93
285,Västerås,68
286,Avlónas,55
287,Echeng,22
288,Lipnica,96
289,Gunungpeundeuy,19
290,Korop,34
291,Laxou,12
292,Muyudian,98
293,Los Lotes,36
294,Aviles,28
295,Větřní,91
296,Sardoal,37
297,Pinayagan Norte,60
298,Non Sung,21
299,Litvínov,99
300,Groningen,73
301,Ogwashi-Uku,80
302,Pragen Selatan,23
303,Pasarbaru,71
304,Ban Huai Thalaeng,50
305,Carpina,65
306,Turochak,15
307,Reno,92
308,Candoso,47
309,Luoshanchuan,100
310,Pandan,22
311,Santo Domingo Este,79
312,Kafr al Labad,40
313,Dalu,43
314,Pengfang,71
315,Baiyang,48
316,Shakhtars’k,60
317,Rahayu Dua,83
318,Sungai Nyamuk,79
319,Lemland,12
320,Mitake,35
321,Guozhen,62
322,Fort Worth,25
323,Pylaía,40
324,Polýkastro,51
325,Hangji,66
326,Al Judayrah,75
327,Tignapalan,98
328,Hněvotín,13
329,Offenbach,27
330,Damayan,83
331,Sumber,18
332,Nedašov,69
333,Heilbronn,6
334,Zhongluotan,66
335,La Courneuve,96
336,Annecy,39
337,Tuqiao,66
338,Oekero,83
339,Mabay,55
340,Tibro,17
341,Rizokárpaso,76
342,Minsk,44
343,Mungging,62
344,Wissembourg,27
345,Suyang,5
346,Monkstown,19
347,Krajan,44
348,Tabora,26
349,Zaokskiy,62
350,Clamart,77
351,Usquil,73
352,Trudobelikovskiy,45
353,Matai,85
354,Xinglong,8
355,Lautoka,55
356,Borås,6
357,Darfield,7
358,Tarhuna,44
359,Ariguaní,61
360,Gniezno,26
361,Olyka,88
362,Kananga,92
363,Talisay,2
364,Leńcze,68
365,Gandusari,61
366,Bao’an,82
367,Fenoarivo Be,47
368,Hucheng,100
369,Hallstahammar,28
370,Xiaojie,86
371,Shiye,82
372,Yetang,7
373,Gorshechnoye,11
374,Yantongtun,77
375,Przemęt,4
376,Staryy Saltiv,7
377,Tsaratanana,59
378,Jedrzejow,81
379,Round Rock,71
380,Zašová,41
381,Bantar,69
382,Margotuhu Kidul,61
383,Liangnong,67
384,Kulykiv,87
385,Rio,46
386,Katowice,72
387,Kangding,29
388,Lillehammer,20
389,Bamban,60
390,Kebon,1
391,Skuratovskiy,37
392,Kuching,1
393,Sukarama,17
394,Zhongcheng,3
395,Kanbe,73
396,Pueblo Nuevo,77
397,Bairro,55
398,Kuala Lumpur,59
399,Sanlicheng,14
400,Nestório,85
