id_sprzedazy,data,id_dostepnosci,id_pracownika,id_firmy_kupujacej
65,14/10/2019,215,952,398
66,27/12/2018,838,637,294
67,21/02/2018,444,750,612
68,25/11/2020,908,288,187
69,01/12/2016,456,674,260
70,11/09/2020,110,80,438
71,18/03/2016,485,306,441
72,19/01/2017,505,11,203
73,19/01/2017,316,135,41
74,20/12/2018,209,15,381
75,09/08/2019,568,47,733
76,28/07/2021,15,700,741
77,30/01/2016,812,295,763
78,23/08/2015,553,595,317
79,06/12/2016,51,54,744
80,26/09/2018,617,622,482
81,10/06/2017,805,690,597
82,27/05/2018,209,201,347
83,09/05/2019,835,314,514
84,14/12/2019,484,518,748
85,16/01/2016,143,563,513
86,18/04/2021,901,389,738
87,14/08/2016,319,519,375
88,06/05/2018,166,204,502
89,12/06/2019,784,321,62
90,26/08/2019,765,217,783
91,19/05/2016,83,642,228
92,14/11/2021,2,278,771
93,23/11/2019,125,346,103
94,22/03/2016,62,273,779
95,20/03/2021,473,844,740
96,29/01/2020,486,909,145
97,20/08/2015,559,884,17
98,08/08/2021,928,350,715
99,03/11/2016,169,830,388
100,27/01/2022,835,538,187
101,08/01/2017,79,447,715
102,18/08/2019,491,718,634
103,23/10/2018,345,110,262
104,16/08/2016,476,783,55
105,30/08/2019,884,630,173
106,05/04/2022,238,542,181
107,27/03/2017,335,501,415
108,19/08/2018,259,968,404
109,15/06/2019,377,377,23
110,10/09/2015,654,892,284
111,09/05/2021,638,770,567
112,28/12/2015,216,505,206
113,16/03/2022,468,464,436
114,01/08/2017,412,855,40
115,01/01/2018,190,499,531
116,23/09/2021,144,645,163
117,08/03/2022,609,784,183
118,21/02/2020,194,975,441
119,16/06/2015,549,592,596
120,18/04/2016,504,629,285
121,31/12/2018,782,931,453
122,10/07/2021,302,91,617
123,29/12/2019,530,449,427
124,29/10/2017,305,374,253
125,14/04/2018,136,80,337
126,23/08/2017,527,121,701
127,09/01/2018,51,861,228
128,07/11/2020,475,221,293
129,02/06/2018,376,882,732
130,26/06/2021,457,596,540
131,14/09/2016,29,562,445
132,25/06/2019,421,339,797
133,06/02/2020,937,710,758
134,01/06/2017,42,762,729
135,27/10/2015,986,247,501
136,29/07/2018,51,699,76
137,15/02/2021,713,111,750
138,31/08/2015,339,614,750
139,26/04/2021,481,301,170
140,20/10/2017,346,849,562
141,07/05/2020,53,687,62
142,05/08/2021,356,864,577
143,21/09/2021,566,78,798
144,29/04/2016,863,122,481
145,19/05/2021,785,962,491
146,04/10/2019,427,31,317
147,24/01/2020,863,832,501
148,29/05/2020,711,456,415
149,25/08/2017,950,588,432
150,14/11/2018,266,766,651
151,16/12/2019,800,125,145
152,23/10/2018,470,544,252
153,07/12/2017,199,953,620
154,14/02/2020,555,968,743
155,01/06/2021,691,861,509
156,01/02/2016,599,720,33
157,27/03/2019,786,381,9
158,10/05/2021,210,406,429
159,06/09/2017,683,874,528
160,22/10/2016,776,895,448
161,12/08/2021,838,683,591
162,13/11/2016,462,997,105
163,13/07/2017,256,640,296
164,06/10/2020,566,702,203
165,29/12/2016,308,158,229
166,17/02/2019,114,274,352
167,17/05/2017,703,297,666
168,14/09/2016,119,77,419
169,04/06/2021,114,565,755
170,18/09/2015,739,487,593
171,26/04/2020,96,929,151
172,30/08/2019,42,833,389
173,18/11/2020,227,854,88
174,11/09/2018,425,935,782
175,15/09/2017,426,813,715
176,07/06/2017,598,620,91
177,14/12/2015,329,179,517
178,02/07/2019,588,739,775
179,26/01/2019,686,538,199
180,12/03/2017,509,554,306
181,13/12/2019,156,606,292
182,10/05/2019,745,379,376
183,16/11/2015,740,481,283
184,22/06/2016,38,565,616
185,11/08/2020,707,184,316
186,09/05/2018,78,104,198
187,22/01/2020,120,450,142
188,25/04/2020,131,419,689
189,23/12/2021,386,174,533
190,02/11/2017,663,88,799
191,17/03/2018,720,456,46
192,17/04/2016,142,17,609
193,24/01/2022,751,920,354
194,30/07/2020,242,789,681
195,05/03/2022,193,525,281
196,23/05/2016,198,936,685
197,24/02/2018,994,967,551
198,10/04/2016,147,396,719
199,28/09/2018,683,923,651
200,04/01/2019,389,221,692
201,08/11/2015,446,975,265
202,21/04/2019,236,237,344
203,25/04/2022,292,655,396
204,28/10/2020,784,437,701
205,10/07/2015,208,852,439
206,20/06/2019,25,364,204
207,04/03/2016,2,130,237
208,01/08/2017,384,815,750
209,02/12/2017,603,509,664
210,30/04/2019,665,742,281
211,11/05/2019,504,564,754
212,01/08/2020,999,785,382
213,30/11/2020,645,740,768
214,25/05/2015,853,845,192
215,10/07/2019,751,474,530
216,07/04/2021,525,274,179
217,08/10/2021,236,739,789
218,04/05/2016,221,80,208
219,13/02/2019,259,485,89
220,19/08/2017,492,562,290
221,08/10/2019,640,640,647
222,09/07/2015,496,984,380
223,07/06/2015,267,88,529
224,11/01/2017,297,808,339
225,01/07/2018,777,459,465
226,06/05/2017,322,812,787
227,21/08/2021,409,475,412
228,22/03/2022,737,720,216
229,04/10/2018,649,300,204
230,26/08/2018,321,920,772
231,04/06/2020,491,927,631
232,16/08/2019,386,375,617
233,18/07/2016,104,714,547
234,20/09/2016,411,232,645
235,15/01/2018,934,705,485
236,20/04/2018,535,6,66
237,09/03/2021,69,639,707
238,03/10/2017,669,400,46
239,14/10/2017,316,464,482
240,29/03/2021,109,676,217
241,27/01/2022,949,538,752
242,14/03/2018,153,272,216
243,19/09/2016,594,196,674
244,12/11/2015,794,217,459
245,06/01/2020,949,476,571
246,11/11/2017,951,66,225
247,19/07/2015,994,910,718
248,28/12/2015,617,838,304
249,14/06/2015,269,933,118
250,27/02/2016,721,688,6
251,23/01/2020,424,984,468
252,11/03/2021,939,104,34
253,15/10/2019,837,328,727
254,05/03/2017,150,820,12
255,03/04/2018,696,430,6
256,11/08/2020,627,50,507
257,12/02/2018,349,212,285
258,30/10/2020,46,375,776
259,19/01/2022,65,812,104
260,22/04/2022,405,35,121
261,25/08/2018,295,889,207
262,17/11/2019,605,776,362
263,29/11/2015,838,763,347
264,20/05/2020,974,264,421
265,03/05/2019,1,661,494
266,27/07/2016,119,370,328
267,08/07/2020,502,312,672
268,22/09/2017,488,698,71
269,21/06/2020,909,195,719
270,28/02/2021,631,125,625
271,20/02/2019,787,607,561
272,21/12/2018,878,238,435
273,12/11/2018,921,476,31
274,30/05/2021,938,626,46
275,08/07/2016,106,75,629
276,28/03/2020,606,327,26
277,06/03/2018,856,341,341
278,27/07/2018,328,618,721
279,27/12/2016,78,984,362
280,04/12/2018,630,465,36
281,08/09/2020,913,179,676
282,22/10/2019,118,380,720
283,17/09/2020,624,938,761
284,06/08/2020,135,928,728
285,08/05/2018,185,736,224
286,28/10/2015,734,254,115
287,17/03/2016,980,425,297
288,27/08/2015,926,259,230
289,22/12/2015,987,885,271
290,17/03/2021,760,638,589
291,16/05/2016,777,772,375
292,08/10/2015,265,398,92
293,10/11/2015,194,334,364
294,09/09/2018,583,20,378
295,07/12/2017,640,153,401
296,29/07/2017,571,657,395
297,18/10/2015,5,729,216
298,08/11/2019,93,57,360
299,21/11/2016,992,415,641
300,30/06/2021,850,239,239
301,20/12/2019,895,40,149
302,09/08/2016,865,31,799
303,14/04/2017,581,606,580
304,03/05/2022,111,132,431
305,18/12/2021,129,88,91
306,06/06/2016,587,323,533
307,12/10/2017,633,819,457
308,31/12/2017,871,603,730
309,29/07/2017,801,955,473
310,27/02/2016,489,962,443
311,27/02/2021,860,329,550
312,19/07/2019,42,12,782
313,14/12/2015,218,479,566
314,25/10/2018,132,13,644
315,16/01/2016,533,360,677
316,13/10/2018,992,744,116
317,08/03/2017,979,501,590
318,23/03/2020,251,60,49
319,10/08/2018,236,643,38
320,19/04/2017,598,387,90
321,09/12/2021,566,978,334
322,14/01/2022,680,527,659
323,09/05/2017,935,623,48
324,02/04/2019,711,256,341
325,03/10/2020,910,100,534
326,19/06/2016,514,696,422
327,01/10/2016,628,599,385
328,14/06/2016,532,204,646
329,11/02/2021,622,812,701
330,27/06/2020,537,14,345
331,15/06/2018,617,123,781
332,28/10/2018,801,507,207
333,08/03/2016,811,104,330
334,08/10/2018,727,460,248
335,20/08/2020,104,332,124
336,19/02/2017,65,597,564
337,12/03/2022,244,463,40
338,17/04/2016,395,115,707
339,16/12/2017,322,669,797
340,25/02/2017,581,603,346
341,06/11/2017,85,213,398
342,07/10/2021,461,358,647
343,29/10/2015,682,624,649
344,12/02/2016,820,815,754
345,13/10/2017,557,818,278
346,19/12/2021,246,728,81
347,20/05/2017,697,585,387
348,30/05/2020,913,763,793
349,28/12/2021,298,994,564
350,12/01/2019,80,818,728
351,28/10/2018,797,54,341
352,08/11/2018,3,620,687
353,26/11/2021,278,294,53
354,10/08/2018,546,754,282
355,21/03/2018,302,467,324
356,01/02/2018,9,553,444
357,22/06/2018,234,736,288
358,27/10/2017,827,527,583
359,07/02/2017,848,343,104
360,23/08/2017,823,798,290
361,20/12/2018,103,551,706
362,28/06/2019,868,138,385
363,13/03/2021,553,708,242
364,18/09/2021,194,535,153
365,05/03/2016,853,949,200
366,11/05/2017,894,950,357
367,06/05/2019,752,652,514
368,16/06/2020,476,256,509
369,23/06/2019,732,232,299
370,10/01/2018,944,371,285
371,11/08/2017,875,340,177
372,22/05/2018,46,126,717
373,10/03/2020,18,928,660
374,05/03/2021,188,176,307
375,10/07/2019,242,768,365
376,07/09/2015,315,981,445
377,15/08/2015,338,879,456
378,07/01/2022,334,582,344
379,31/08/2016,78,626,665
380,07/05/2016,703,685,343
381,21/09/2021,660,725,692
382,07/04/2020,689,11,756
383,12/10/2021,970,238,357
384,13/04/2021,138,121,365
385,21/02/2019,623,515,323
386,13/04/2021,642,376,298
387,07/07/2018,398,513,746
388,08/06/2019,600,530,663
389,05/05/2019,986,458,347
390,26/02/2021,831,681,16
391,04/01/2021,278,298,493
392,01/08/2020,86,414,697
393,06/12/2021,728,608,69
394,09/11/2016,788,347,354
395,13/07/2017,64,896,107
396,21/10/2019,247,484,471
397,12/06/2019,1000,806,660
398,14/10/2016,722,129,481
399,03/11/2020,933,566,48
400,12/06/2017,26,724,741
401,17/05/2021,198,581,421
402,06/02/2018,646,328,270
403,17/12/2020,319,192,771
404,18/10/2015,128,253,522
405,28/08/2021,256,45,604
406,25/10/2019,752,978,531
407,09/03/2019,460,530,526
408,02/12/2018,295,911,449
409,05/03/2018,405,151,387
410,29/06/2021,485,262,507
411,28/02/2018,210,385,73
412,30/05/2020,943,692,797
413,13/11/2017,823,570,225
414,02/07/2019,998,734,220
415,14/06/2016,666,530,220
416,17/06/2016,921,949,764
417,18/09/2021,887,464,416
418,18/04/2017,740,6,530
419,16/11/2016,550,376,529
420,05/11/2017,537,546,132
421,31/01/2016,488,349,92
422,24/01/2017,13,330,253
423,04/04/2019,708,157,534
424,12/04/2020,212,534,175
425,13/06/2018,125,979,561
426,26/06/2020,515,596,669
427,05/03/2022,295,993,41
428,22/02/2021,941,75,633
429,19/06/2017,46,623,250
430,14/11/2021,445,686,53
431,17/03/2017,19,985,705
432,23/11/2019,735,531,452
433,13/06/2020,907,430,424
434,15/10/2020,712,143,408
435,03/04/2017,195,123,81
436,10/11/2020,656,263,274
437,16/02/2018,271,268,38
438,22/02/2018,57,736,744
439,02/08/2019,692,633,236
440,04/05/2017,415,849,720
441,22/11/2017,326,159,92
442,01/04/2018,672,477,755
443,18/07/2020,364,463,107
444,03/11/2015,572,763,715
445,16/02/2019,910,759,716
446,12/11/2017,175,546,689
447,10/08/2019,300,705,794
448,12/03/2019,318,829,108
449,07/10/2016,412,83,366
450,04/12/2016,83,766,334
451,08/09/2016,407,363,623
452,18/05/2016,732,574,161
453,26/06/2017,365,622,380
454,19/02/2021,479,499,712
455,27/04/2022,446,44,214
456,20/03/2019,13,281,193
457,19/05/2017,462,52,205
458,25/04/2022,154,132,180
459,05/11/2019,946,905,544
460,21/11/2017,916,640,737
461,16/08/2017,499,471,514
462,15/11/2016,335,898,707
463,08/01/2016,404,574,372
464,15/07/2018,728,322,279
465,29/12/2020,660,438,374
466,25/12/2021,361,781,652
467,13/09/2015,331,689,356
468,18/03/2018,160,41,117
469,01/01/2019,989,729,636
470,07/04/2016,634,11,574
471,23/08/2017,724,458,220
472,13/07/2017,951,85,249
473,29/07/2016,605,803,448
474,23/10/2015,611,890,82
475,07/10/2019,142,477,667
476,15/09/2019,573,508,25
477,24/06/2016,486,535,702
478,05/10/2019,910,326,452
479,30/01/2016,35,995,301
480,16/12/2017,764,18,634
481,01/08/2015,10,859,503
482,05/07/2016,858,565,776
483,27/05/2020,404,280,798
484,05/02/2016,67,913,546
485,14/04/2022,453,333,341
486,24/03/2017,32,812,380
487,20/09/2018,419,185,739
488,11/10/2019,993,256,22
489,05/04/2022,582,764,1
490,31/03/2017,939,378,799
491,02/05/2017,266,199,38
492,20/11/2020,516,925,402
493,15/12/2018,421,682,179
494,16/03/2016,555,35,402
495,21/12/2015,464,971,459
496,04/03/2017,91,24,353
497,24/05/2017,682,413,340
498,17/06/2021,317,954,295
499,13/02/2021,633,525,376
500,05/07/2018,626,852,703
501,09/09/2018,499,770,176
502,22/06/2015,934,374,327
503,06/03/2016,510,334,378
504,07/03/2020,114,563,215
505,09/03/2018,92,326,522
506,21/03/2019,975,886,364
507,16/10/2016,310,64,422
508,15/07/2015,893,671,114
509,15/01/2022,692,682,4
510,25/04/2022,689,696,738
511,06/02/2017,756,990,186
512,02/05/2021,606,367,631
513,19/06/2018,704,950,762
514,31/05/2016,606,426,86
515,10/12/2019,501,509,132
516,24/03/2022,48,433,796
517,26/11/2017,913,384,723
518,14/02/2018,301,54,337
519,28/06/2021,212,792,133
520,08/06/2018,962,1000,518
521,28/07/2015,981,250,334
522,24/05/2019,139,207,591
523,04/11/2015,492,728,761
524,04/01/2016,894,806,544
525,18/07/2018,436,354,452
526,16/10/2021,362,604,212
527,08/04/2016,195,790,734
528,19/05/2020,202,237,206
529,17/06/2017,699,696,117
530,28/12/2017,80,7,49
531,11/07/2020,694,963,141
532,23/04/2018,593,442,46
533,26/06/2018,979,761,35
534,28/12/2019,365,114,305
535,20/02/2020,774,24,278
536,22/01/2018,253,40,312
537,21/04/2019,561,193,559
538,14/03/2022,721,957,249
539,22/05/2015,693,951,629
540,31/01/2019,613,978,649
541,09/12/2015,588,693,181
542,01/01/2022,236,819,501
543,02/08/2015,921,155,600
544,30/09/2017,859,724,569
545,02/11/2017,968,342,460
546,24/03/2021,511,479,391
547,19/09/2015,41,53,4
548,17/03/2020,353,157,432
549,10/02/2020,291,643,442
550,16/09/2020,441,733,154
551,08/12/2015,832,631,334
552,15/08/2016,526,580,747
553,19/07/2016,267,592,732
554,13/08/2017,873,599,266
555,11/10/2017,52,9,785
556,31/12/2016,721,656,252
557,04/12/2015,902,581,327
558,28/10/2016,867,797,59
559,06/10/2016,510,776,376
560,29/04/2016,124,30,741
561,18/02/2021,612,274,177
562,03/06/2015,534,195,413
563,02/09/2018,121,351,484
564,20/01/2020,485,49,43
565,16/05/2020,695,950,212
566,31/08/2021,85,503,401
567,19/01/2017,522,821,362
568,20/03/2019,863,307,661
569,11/03/2022,543,354,762
570,02/05/2016,75,566,777
571,29/09/2017,849,130,452
572,25/02/2018,584,344,133
573,26/03/2018,541,776,711
574,27/02/2022,806,608,127
575,10/12/2018,633,867,749
576,18/11/2020,653,476,517
577,12/05/2019,310,645,174
578,14/02/2020,238,494,445
579,27/03/2016,940,543,12
580,03/06/2018,784,959,308
581,28/12/2019,918,847,767
582,25/04/2022,788,956,298
583,12/07/2020,91,460,652
584,25/06/2020,996,738,147
585,14/09/2017,374,711,256
586,11/12/2018,123,833,503
587,24/01/2022,759,895,248
588,06/04/2017,786,628,186
589,13/03/2019,858,462,221
590,01/03/2022,94,469,343
591,09/09/2017,672,665,748
592,17/07/2018,79,351,155
593,21/11/2016,596,562,78
594,02/08/2016,722,168,503
595,11/12/2015,107,21,785
596,05/06/2020,180,137,317
597,17/01/2021,423,402,684
598,24/09/2015,661,509,251
599,27/06/2020,301,215,699
600,26/08/2017,630,320,619
601,08/02/2016,377,801,396
602,16/10/2016,414,451,738
603,02/11/2021,215,912,372
604,08/03/2018,81,343,746
605,18/04/2018,257,218,602
606,10/05/2019,966,835,790
607,06/10/2015,527,342,2
608,27/10/2017,238,895,115
609,29/12/2016,563,370,716
610,02/09/2015,154,497,639
611,09/04/2022,90,452,367
612,05/12/2016,603,800,679
613,21/04/2016,147,171,330
614,18/12/2019,632,787,231
615,13/01/2016,615,627,480
616,29/08/2018,299,198,32
617,06/02/2018,145,266,104
618,21/11/2015,93,976,216
619,10/09/2019,8,804,454
620,14/07/2016,913,314,103
621,01/10/2021,381,572,159
622,02/09/2020,458,543,626
623,25/08/2021,189,647,359
624,29/05/2017,62,564,646
625,09/10/2016,440,232,788
626,16/09/2021,15,409,142
627,30/03/2019,632,605,127
628,15/12/2016,56,234,687
629,15/04/2019,376,94,522
630,09/10/2016,647,857,350
631,10/03/2020,69,268,719
632,26/04/2016,566,877,620
633,14/08/2019,990,237,146
634,30/11/2020,437,706,285
635,26/06/2018,850,703,506
636,25/08/2016,979,214,397
637,28/02/2021,133,178,342
638,23/06/2020,874,712,790
639,17/02/2017,783,23,435
640,27/07/2017,52,758,518
641,10/03/2018,671,302,340
642,07/07/2019,46,250,160
643,24/03/2020,567,22,739
644,16/10/2021,693,52,121
645,14/04/2020,121,984,580
646,25/07/2017,436,115,675
647,29/11/2020,769,663,658
648,28/12/2016,768,910,232
649,10/06/2020,393,447,100
650,26/08/2020,651,411,511
651,20/11/2018,203,642,291
652,22/11/2021,790,375,349
653,16/04/2020,252,768,305
654,20/01/2019,465,683,434
655,28/05/2017,818,213,520
656,01/03/2022,903,59,359
657,02/01/2021,561,47,700
658,16/06/2020,894,430,698
659,14/03/2022,670,659,769
660,12/11/2017,584,715,327
661,23/11/2016,797,868,52
662,14/06/2017,313,700,166
663,30/11/2015,741,386,580
664,16/10/2020,458,926,434
665,05/08/2018,726,834,240
666,16/02/2021,466,880,95
667,02/11/2020,864,374,481
668,07/04/2019,84,785,149
669,16/01/2022,648,398,642
670,16/08/2019,717,408,256
671,16/07/2017,981,587,591
672,01/01/2021,204,878,736
673,07/02/2022,542,798,527
674,05/10/2015,604,352,470
675,03/11/2017,898,499,150
676,18/05/2019,28,569,665
677,02/01/2017,875,257,520
678,18/11/2017,810,668,231
679,09/11/2018,92,916,548
680,20/08/2018,381,609,563
681,15/05/2018,85,600,397
682,06/02/2016,237,646,669
683,19/11/2015,350,66,346
684,29/05/2019,725,962,171
685,07/05/2016,20,491,694
686,19/02/2021,575,220,635
687,08/10/2019,756,970,230
688,04/02/2022,484,819,178
689,12/03/2019,47,504,366
690,01/10/2016,532,670,185
691,13/11/2021,39,549,602
692,20/01/2021,651,694,763
693,25/12/2019,200,100,388
694,01/06/2021,75,444,787
695,04/06/2016,605,456,591
696,30/11/2015,388,729,644
697,06/12/2020,293,667,432
698,17/07/2017,109,388,53
699,24/03/2019,187,266,681
700,04/09/2016,959,962,149
701,17/12/2018,513,385,420
702,18/11/2016,935,889,256
703,03/05/2017,435,445,600
704,08/12/2016,910,153,779
705,09/10/2016,963,31,778
706,19/05/2020,111,967,568
707,29/11/2021,68,326,639
708,17/12/2020,988,918,451
709,17/12/2021,863,12,725
710,17/10/2021,464,388,486
711,18/02/2022,574,297,782
712,03/02/2016,162,964,227
713,24/01/2021,852,403,56
714,04/12/2017,971,191,278
715,15/07/2017,659,331,702
716,29/11/2019,695,310,606
717,11/06/2017,74,117,239
718,20/09/2019,958,429,645
719,11/03/2017,200,516,637
720,05/12/2021,433,932,673
721,19/04/2021,365,267,522
722,15/05/2018,533,168,491
723,23/12/2018,519,578,406
724,29/11/2019,957,628,699
725,05/01/2018,623,720,361
726,22/12/2017,108,421,477
727,10/11/2021,290,695,165
728,28/01/2020,630,724,344
729,07/09/2015,554,236,252
730,04/10/2015,473,93,50
731,09/11/2021,385,961,594
732,11/11/2019,58,1000,31
733,23/05/2015,7,743,717
734,31/08/2017,316,600,111
735,05/08/2016,120,28,259
736,12/07/2020,456,467,210
737,22/02/2022,143,777,574
738,28/03/2016,972,332,766
739,06/11/2017,298,115,61
740,21/12/2015,616,530,640
741,02/01/2020,184,597,411
742,09/04/2021,400,987,239
743,17/06/2019,889,106,299
744,15/05/2019,325,17,418
745,30/06/2020,388,567,105
746,15/10/2015,113,794,637
747,18/01/2018,292,180,769
748,05/01/2018,413,17,546
749,22/06/2018,79,572,3
750,10/09/2017,111,631,192
751,02/08/2015,693,586,576
752,13/01/2021,405,684,255
753,13/06/2015,439,732,726
754,01/07/2020,219,98,590
755,29/05/2019,41,994,198
756,21/07/2017,726,464,456
757,22/02/2022,42,770,743
758,07/05/2021,722,344,129
759,12/10/2016,838,55,229
760,03/02/2019,268,203,93
761,08/05/2017,263,574,165
762,12/11/2017,489,979,478
763,21/02/2017,235,323,670
764,26/09/2017,628,504,161
765,25/06/2016,352,297,704
766,14/07/2015,892,959,604
767,22/07/2019,182,656,224
768,22/05/2015,503,326,357
769,03/07/2017,271,924,465
770,15/09/2015,332,166,240
771,08/12/2016,524,859,469
772,31/03/2019,408,311,787
773,26/10/2020,163,87,411
774,20/01/2018,739,476,615
775,23/05/2020,89,583,633
776,12/08/2020,260,553,46
777,17/07/2020,821,866,680
778,31/10/2019,83,99,282
779,28/11/2019,161,444,675
780,24/10/2021,262,559,734
781,08/11/2016,665,83,779
782,29/11/2017,962,426,23
783,13/03/2018,376,114,691
784,26/10/2015,220,388,793
785,25/09/2019,176,486,241
786,20/06/2018,725,760,750
787,11/08/2018,886,215,742
788,13/04/2019,999,367,276
789,17/03/2020,414,966,579
790,12/07/2017,789,813,213
791,10/10/2020,361,821,16
792,02/01/2020,684,396,662
793,04/08/2017,44,363,650
794,04/04/2018,463,953,754
795,07/12/2019,373,987,181
796,22/09/2015,513,99,476
797,11/01/2021,179,772,213
798,06/12/2019,998,685,774
799,27/02/2021,439,619,488
800,17/04/2018,541,393,397
801,31/01/2018,285,256,235
802,10/12/2019,660,60,64
803,17/07/2015,794,83,244
804,01/03/2019,789,374,155
805,03/01/2019,301,87,797
806,27/10/2021,500,692,148
807,21/08/2020,652,286,645
808,14/06/2019,480,509,359
809,19/10/2016,208,199,631
810,25/03/2017,607,883,393
811,21/10/2019,359,919,750
812,09/08/2019,18,2,645
813,10/07/2018,32,188,275
814,27/08/2017,768,802,124
815,31/08/2019,366,318,604
816,25/04/2016,213,240,398
817,25/01/2019,194,67,645
818,14/12/2020,171,886,112
819,13/07/2016,851,572,465
820,05/03/2016,720,707,153
821,04/09/2015,837,284,117
822,14/01/2018,11,84,556
823,24/06/2015,760,696,564
824,04/05/2019,821,308,48
825,19/07/2018,666,776,399
826,31/01/2022,854,691,150
827,13/05/2019,260,529,658
828,05/01/2020,357,829,508
829,10/10/2015,549,504,712
830,16/08/2021,472,478,205
831,17/05/2018,174,964,221
832,22/04/2019,602,398,206
833,07/09/2017,199,938,411
834,27/09/2021,57,986,382
835,06/06/2017,63,394,96
836,11/07/2020,764,52,381
837,06/06/2017,214,568,186
838,02/11/2020,602,527,708
839,03/04/2019,628,817,522
840,19/12/2016,97,635,756
841,29/08/2017,840,378,391
842,02/09/2021,430,413,788
843,18/04/2016,906,95,323
844,02/01/2018,601,273,617
845,20/01/2020,973,765,746
846,30/03/2018,674,956,199
847,01/07/2019,407,234,171
848,28/03/2019,341,295,162
849,31/08/2017,446,620,687
850,30/10/2020,213,934,546
851,09/02/2017,349,237,625
852,31/12/2018,548,310,50
853,11/04/2017,596,704,477
854,03/01/2020,989,849,122
855,13/02/2019,224,968,141
856,06/03/2022,500,543,279
857,20/02/2020,180,298,406
858,29/03/2021,452,19,785
859,24/11/2016,489,469,411
860,03/07/2020,161,253,194
861,28/02/2022,180,753,302
862,11/02/2019,45,212,603
863,15/09/2021,157,494,518
864,27/06/2017,359,597,564
865,24/03/2017,971,300,627
866,27/11/2018,604,964,190
867,28/12/2021,217,52,205
868,11/06/2016,345,460,357
869,03/12/2021,628,558,704
870,21/08/2018,963,743,409
871,18/12/2015,327,15,519
872,30/10/2019,444,494,675
873,05/01/2016,882,389,121
874,03/07/2017,892,382,29
875,21/12/2018,553,273,39
876,06/04/2022,948,332,208
877,19/08/2016,330,958,67
878,30/08/2021,538,756,213
879,28/10/2017,537,549,759
880,14/05/2022,948,8,602
881,17/02/2019,492,82,399
882,02/07/2018,832,684,384
883,22/04/2022,332,512,26
884,30/09/2016,966,838,383
885,01/02/2017,950,286,248
886,03/10/2020,292,53,734
887,19/04/2019,140,693,777
888,30/09/2021,19,315,485
889,12/05/2016,294,413,481
890,23/07/2021,347,189,643
891,02/11/2018,848,52,321
892,20/06/2020,865,600,379
893,11/07/2018,189,73,281
894,14/10/2021,105,887,268
895,06/07/2017,18,594,265
896,21/02/2022,350,230,733
897,09/07/2018,3,657,783
898,02/10/2020,983,431,339
899,19/12/2017,473,986,68
900,07/08/2021,997,32,453
901,11/09/2021,651,735,318
902,12/06/2018,97,533,219
903,31/03/2020,325,512,257
904,06/04/2017,53,416,344
905,30/06/2016,295,761,8
906,21/11/2015,58,170,32
907,24/05/2019,834,951,461
908,30/07/2015,53,219,579
909,15/06/2018,166,705,186
910,23/08/2019,153,806,42
911,11/08/2018,890,820,716
912,21/01/2021,976,806,424
913,01/08/2020,507,304,117
914,27/02/2020,24,124,183
915,31/05/2019,514,152,553
916,18/05/2018,460,890,737
917,21/03/2019,630,330,776
918,08/09/2017,648,910,239
919,29/12/2018,227,236,436
920,20/12/2021,918,728,526
921,03/05/2017,11,950,91
922,11/02/2017,497,973,142
923,29/05/2021,204,162,289
924,07/12/2019,507,527,469
925,29/03/2016,214,914,789
926,11/10/2015,494,675,144
927,21/02/2022,454,139,498
